Mata Pelajaran / Paket,Soal,Opsi A,Opsi B,Opsi C,Opsi D,Opsi E,Kunci Jawaban (A/B/C/D/E),Pembahasan
B.Indo - DIY Paket B,20. Ide pokok paragraf ketiga (Benar/Salah)...,A. Meningkatnya risiko berat badan.,B. Dampak jangka panjang pola makan tidak sehat.,C. Ancaman kurang aktivitas.,,,"S,B,S",
B.Indo - DIY Paket B,21. Hal positif yang mungkin terjadi setelah memahami teks...,1. Mendorong remaja memperhatikan gizi.,2. Tetap konsumsi cepat saji rutin.,3. Sadar dampak jangka panjang selektif memilih.,4. Anggapan praktis membuat konsumsi setiap hari.,,"1,3",
B.Indo - DIY Paket B,22. Larik puisi cinta ibu terjadi...,A. saat hidup,B. waktu siang,C. sepanjang waktu,D. selama bekerja,,C,
B.Indo - DIY Paket B,23. Gambaran ibu menggendong masa depan...,A. ibu perjalanan jauh,B. ibu gendong anak lelah,C. ibu tahan sakit diam,D. ibu tabah perjuangkan masa depan,,D,
B.Indo - DIY Paket B,24. Ungkapan perasaan sesuai isi puisi Dunia Ibu...,A. Adi: sedih penderitaan ibu,B. Budi: bahagia tak lapar,C. Edi: terharu ketabahan perjuangkan anak,D. Bedi: bangga ibu tak mengeluh,,C,
B.Indo - DIY Paket B,25. Pokok-pokok cerita Rayna pemulung...,A. Rayna kumpul gelas - pulang - ambil alat - karung penuh,B. Rayna pulang - ganti - ambil alat - jual - bahagia,C. Rayna pulang - ganti - ambil alat - kumpul gelas - jual,D. Rayna pulang - ganti - alat - kumpul semua - jual,,D,
B.Indo - DIY Paket B,26. Prediksi peristiwa Rayna (Sesuai/Tidak Sesuai)...,A. Ayah memergoki memukul sakit.,B. Teman ayah menegur.,C. Rayna berhasil jual gembira.,,,"S,TS,S",
B.Indo - DIY Paket B,27. Pelajaran yang relevan Rayna memulung...,A. Ikut memulung.,B. Tidak ikut campur.,C. Mengusul tidak dilarang.,D. Membantu orang tua senang ikhlas.,,B,
B.Indo - DIY Paket B,28. Latar tempat naga dikalahkan...,A. Sisik mampu menghidupkan tanah.,B. Di puncak Gunung Satam berhadapan naga.,C. Tanam sisik tanah desa.,D. Perjalanan puncak Gunung.,,C,
B.Indo - DIY Paket B,29. Nilai moral cerita Satam...,A. Keseimbangan alam dijaga,B. Tanggung jawab,C. Kekuatan pemenang,D. Bijaksana keputusan,,A,
B.Indo - DIY Paket B,30. Unsur intrinsik cerita Satam...,1. Latar nyata.,2. Tema pelestarian mendidik.,3. Tokoh pemberani layak ditiru.,4. Alur maju.,,"2,3,2004",
B.Indo - DIY Paket A,1. Makna istilah kapasitas...,A. kemampuan menampung,B. kewenangan jabatan,C. keterbatasan kemampuan,D. kemampuan mental,,A,
B.Indo - DIY Paket A,2. Kesesuaian pernyataan teks Lingkungan (Sesuai/Tidak Sesuai),A. Penyediaan RTH terkendala lahan.,B. Kapasitas penanganan mampu mengatasi sampah.,C. Urbanisasi menyebabkan masalah lingkungan.,,,"S,TS,S",
B.Indo - DIY Paket A,3. Gagasan pendukung paragraf pertama Lingkungan...,"A. RTH 2,6 juta",B. Penumpukan sampah diakibatkan produksi melebihi kapasitas,C. Polusi udara sedang,D. Ketersediaan lahan berkurang karena RTH,,B,
B.Indo - DIY Paket A,4. Istilah media sosial teks Shorts...,1. upload,2. relevan,3. konsep,4. audiens,,"1,4",
B.Indo - DIY Paket A,5. Tujuan teks Shorts...,A. Membujuk menjadi Youtuber,B. Mendeskripsikan kelebihan YT,C. Menghibur cerita,D. Menjelaskan langkah-langkah Shorts,,D,
B.Indo - DIY Paket A,6. Bagian teks Shorts tidak sesuai...,A. Tahapan tidak urut,B. Pengaturan video diprivat tidak bisa ditonton,C. Alat bahan tidak dukung,D. Durasi 8 menit,,B,
B.Indo - DIY Paket A,7. Pokok berita Tangerang 10K...,1. Jumlah pelari 2500 berbagai negara,2. Dilaksanakan 7 Des Pasific Garden,3. Penyelenggara Pemkot dan Kompas,4. Peserta nulis pesan,,"3,4",
B.Indo - DIY Paket A,8. Hal pihak nonpemerintah menggiatkan olahraga...,1. finansial menguntungkan,2. klub murah/gratis,3. sponsor massal,4. danai pemerintah,,"2,3",
B.Indo - DIY Paket A,9. Kenapa teks Tangerang belum lengkap unsur berita?,A. Peristiwa belum,B. Tempat pelaksanaan,C. Siapa terlibat,D. Alasan penyelenggaraan belum,,D,
B.Indo - DIY Paket A,10. Spons menyerap air...,A. hutan DAS,B. hutan Kalimantan,C. hutan Sumatera,D. deforestasi,,A,
B.Indo - DIY Paket A,11. Peristiwa teks bencana...,A. Deforestasi,B. Bencana hidrologis,C. Curah hujan tinggi,D. Bencana banjir longsor,,D,
B.Indo - DIY Paket A,12. Tindakan mencegah peristiwa...,"A. Mencintai lingkungan, melestarikan",B. Menghukum pelaku,C. Dukung kurikulum,D. Rancang UU,,A,
B.Indo - DIY Paket A,13. Kata tidak sesuai kaidah teks Ginjal...,1. fertilisasi,2. karbonasi,3. hipertensi,4. diabetes,,"1,2",
B.Indo - DIY Paket A,14. Pola pengembangan paragraf 2 Ginjal...,A. perbandingan,B. kronologis,C. kausalitas,D. ilustrasi,,C,
B.Indo - DIY Paket A,15. Konjungsi tidak sesuai teks Ginjal...,A. sehingga paragraf 2,B. namun paragraf 1,C. dan paragraf 1,D. agar paragraf 4,,D,
B.Indo - DIY Paket A,16. Opini Na Willa (Benar/Salah),A. Memadukan alur emosional dan sinematografi.,B. Akting Willa natural.,C. Tokoh utamanya Willa berjuang hidup.,,,"B,B,B",
B.Indo - DIY Paket A,17. Simpulan teks Na Willa...,"A. Menekankan batin, lain kurang.","B. Menggabungkan cerita, visual, musik pengalaman bermakna.",C. Pentingnya karakter pendukung.,D. Sutradara fokus sinematografi abai emosi.,,B,
B.Indo - DIY Paket A,18. Alasan judul Na Willa sesuai...,A. Hanya keindahan visual.,B. Musik dibanding cerita.,C. Di balik sinematografi ada konflik dan makna.,D. Film drama pasti inspirasi.,,C,
B.Indo - DIY Paket A,19. Bagan teks Make Up...,A. Penyebab -> Kesehatan -> Jasmani,B. Tren -> Dampak -> Mental,C. Dampak -> Mata Kulit Mental,D. Penyebab -> Kulit Mata Mental,,D,
B.Indo - DIY Paket A,20. Ide pokok paragraf 3 Make Up (Benar/Salah),A. Alergi peradangan,B. Pengaruh make up berlebihan,C. Akibat kualitas,,,"S,B,S",
B.Indo - DIY Paket A,21. Hal positif teks Make Up...,1. Remaja wajar make up,2. Wajib make up menarik,3. Sadar kebersihan dan kualitas kosmetik,4. Make up tak pengaruh mental,,"1,3",
B.Indo - DIY Paket A,"22. Puisi Kartini lampu remang, bulu mata sayup... suasana...",A. muram,B. duka,C. hening,D. sepi,,A,
B.Indo - DIY Paket A,"23. 'ladang-ladang karang dirambah, disiangi kaki telanjang' ... citraan...",A. visual,B. audio,C. gerak,D. penciuman,,A,
B.Indo - DIY Paket A,24. Ungkapan perasaan sesuai puisi Kartini...,A. Ari: prihatin berjuang keras,B. Ira: syukur nasib olah ladang,C. Eni: terharu perjuangan Kartini,D. Ani: biasa saja,,A,
B.Indo - DIY Paket A,25. Kerangka cerita Maya...,A. Maya - Badai - Bangunan roboh - Maya bersih - Donasi,B. Badai - Roboh - Bersih - Kotak,C. Peduli - Badai - Pohon tumbang - Kotak bersih,D. Peduli - Badai - Tumbang roboh - Teman bersih - Kotak - Spanduk,,C,
B.Indo - DIY Paket A,26. Prediksi Maya (Sesuai/Tidak Sesuai),A. Warga ikut peduli,B. Maya diusir,C. Maya dapat apresiasi,,,"S,TS,S",
B.Indo - DIY Paket A,27. Pelajaran relevan Maya di sekolah...,A. Bersih sekolah banjir,B. Peduli buang sampah tempat,C. Imbau OSIS program lingkungan,D. Pihak sekolah libatkan pihak lain,,C,
B.Indo - DIY Paket A,28. Latar suasana Kapten Hitam Serindit...,A. Air gelombang,B. Angin kencang,C. Tanah mulai gersang,D. Dilimpahi matahari,,C,
B.Indo - DIY Paket A,29. Nilai moral Pelawan Serindit...,A. Berani membela kebenaran,B. Muda tangguh,C. Tanggung jawab,D. Kekuatan optimal,,A,
B.Indo - DIY Paket A,30. Unsur intrinsik Serindit...,1. Nyata,2. Pelestarian mendidik,3. Pemberani ditiru,4. Alur maju mudah,,"2,3,2004",
